CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1985,Female,86,169868,14,,1,2
1073,Male,63,156245,68,Doctor,1,6
832,Male,0,148785,100,Artist,9,6
1876,Female,33,161383,39,Artist,8,3
1907,Female,37,123211,74,Artist,10,4
219,Female,19,145884,78,Doctor,3,6
1191,Male,62,149817,39,Artist,0,6
341,Male,54,45019,55,Artist,10,4
601,Female,12,28187,30,Engineer,6,1
975,Female,43,141684,42,Artist,9,3
1556,Female,15,107014,57,Doctor,0,6
758,Female,43,178732,27,Entertainment,9,6
1203,Male,81,155008,50,Entertainment,8,6
1376,Male,83,128595,3,Healthcare,1,3
1989,Male,62,84680,11,,7,6
1313,Female,90,40835,19,Entertainment,10,4
1486,Female,89,120941,18,Engineer,8,7
1289,Female,30,144197,17,Doctor,1,1
1569,Male,43,146746,39,Artist,9,2
366,Female,71,129903,19,Healthcare,1,2
116,Female,28,112221,49,Healthcare,8,5
1000,Female,26,127520,95,Marketing,7,4
925,Female,26,138954,93,Artist,2,4
1338,Female,48,131754,78,Artist,1,7
1199,Male,44,71252,49,Healthcare,0,6
1171,Female,80,121041,42,Artist,10,4
1443,Female,63,120896,38,Entertainment,12,6
1316,Female,87,120568,27,Artist,7,6
125,Female,28,66165,81,Artist,1,1
1093,Female,19,152540,77,Artist,1,6
1427,Female,89,155506,24,Healthcare,0,1
520,Male,84,127297,39,Artist,7,3
1121,Male,84,79654,53,Engineer,9,3
251,Female,19,113466,88,Lawyer,0,6
1307,Female,99,96347,84,Artist,5,1
806,Male,17,142637,60,Entertainment,10,3
1052,Female,53,77727,69,Healthcare,0,7
933,Female,38,7506,97,Doctor,1,1
661,Female,56,61378,32,Homemaker,8,3
1719,Male,73,70673,57,Engineer,1,6
1221,Female,0,70208,11,Artist,1,1
240,Male,66,100149,85,Engineer,7,2
901,Female,13,77362,42,Artist,0,6
357,Female,19,116569,84,Lawyer,0,6
1167,Female,19,105730,87,Marketing,7,2
28,Female,0,12267,82,Artist,0,4
164,Female,65,87714,84,Artist,0,4
1892,Male,15,148327,66,Artist,1,2
1288,Female,50,122341,95,Entertainment,0,6
1043,Female,13,110511,58,Healthcare,10,7
1995,Female,97,158893,52,Artist,1,7
591,Male,59,20082,33,Entertainment,4,4
1777,Female,74,119470,60,Artist,9,3
1040,Female,63,135075,75,Artist,0,3
1134,Male,14,65706,45,Healthcare,8,6
1669,Male,72,129731,37,Doctor,9,2
1422,Female,96,77982,77,Executive,0,6
1675,Female,52,122805,22,Entertainment,8,7
1906,Female,44,123281,38,Healthcare,0,6
1257,Female,67,81079,59,Healthcare,1,2
315,Female,31,72183,7,Healthcare,10,7
69,Female,28,55460,7,Artist,10,1
1135,Male,83,132803,12,Healthcare,7,6
409,Female,73,64086,64,Executive,0,5
373,Female,76,144762,45,Healthcare,1,4
725,Female,17,41962,62,Artist,6,7
315,Male,54,12901,86,Engineer,0,7
1427,Male,1,122594,25,Healthcare,5,1
1999,Female,21,151467,39,,0,6
1098,Male,8,140010,67,Lawyer,6,6
699,Female,41,79447,44,Artist,1,7
239,Male,11,92808,23,Marketing,12,6
1621,Female,5,136571,67,Doctor,5,4
684,Female,90,54576,64,Healthcare,6,7
695,Female,23,142012,35,Engineer,7,4
1233,Female,54,100071,67,Homemaker,5,6
1817,Female,77,110032,47,Executive,4,6
1315,Female,70,137755,41,Executive,1,1
623,Female,51,62052,92,Healthcare,5,1
1754,Female,91,143505,39,Artist,0,1
808,Female,21,60606,22,Healthcare,0,6
1920,Female,19,110153,88,Entertainment,0,6
449,Female,1,112254,28,Artist,0,4
313,Female,15,131094,94,Artist,7,6
1269,Female,44,180228,32,Healthcare,0,5
345,Female,50,112584,21,Healthcare,1,5
